fileset module initialized with random seed: 305419895
path: k:\dy10000001b\b100000 , size:  812 , seed:  514847632
path: k:\dy10000001b\b100023 , size:  97 , seed:  1488690379
path: k:\dy10000002c\c100023 , size:  441 , seed:  2953015316
path: k:\dy10000001b\b100024 , size:  74 , seed:  1928168838
path: k:\dy10000002c\c100024 , size:  662 , seed:  1619200148
path: k:\dy10000001b\b100025 , size:  863 , seed:  1148471495
path: k:\dy10000002c\c100025 , size:  426 , seed:  298024300
path: k:\dy10000001b\b100026 , size:  444 , seed:  2608862282
path: k:\dy10000002c\c100026 , size:  769 , seed:  652262866
path: k:\dy10000001b\b100027 , size:  204 , seed:  4222127373
path: k:\dy10000002c\c100027 , size:  916 , seed:  3722900856
path: k:\dy10000001b\b100028 , size:  625 , seed:  1095881147
path: k:\dy10000002c\c100028 , size:  514 , seed:  1967268006
path: k:\dy10000001b\b100029 , size:  71 , seed:  2301422142
path: k:\dy10000002c\c100029 , size:  705 , seed:  4250255239
path: k:\dy10000001b\b100030 , size:  548 , seed:  270833859
path: k:\dy10000002c\c100030 , size:  378 , seed:  3359709785
path: k:\dy10000001b\b100031 , size:  40 , seed:  2605455874
path: k:\dy10000002c\c100031 , size:  131 , seed:  1582216173
path: k:\dy10000001b\b100032 , size:  103 , seed:  481729458
path: k:\dy10000002c\c100032 , size:  888 , seed:  1728362726
path: k:\dy10000001b\b100033 , size:  176 , seed:  2493468078
path: k:\dy10000002c\c100033 , size:  372 , seed:  833002047
path: k:\dy10000001b\b100034 , size:  927 , seed:  2544214280
path: k:\dy10000002c\c100034 , size:  388 , seed:  4263375211
path: k:\dy10000001b\b100035 , size:  740 , seed:  3678375023
path: k:\dy10000002c\c100035 , size:  792 , seed:  1851881828
path: k:\dy10000001b\b100036 , size:  70 , seed:  2832284416
path: k:\dy10000002c\c100036 , size:  361 , seed:  1112935103
path: k:\dy10000001b\b100037 , size:  890 , seed:  2231402569
path: k:\dy10000002c\c100037 , size:  620 , seed:  3891736140
path: k:\dy10000001b\b100038 , size:  175 , seed:  2737388513
path: k:\dy10000002c\c100038 , size:  864 , seed:  3206425161
path: k:\dy10000001b\b100039 , size:  728 , seed:  1255168073
path: k:\dy10000002c\c100039 , size:  181 , seed:  3047059023
path: k:\dy10000001b\b100040 , size:  126 , seed:  726404226
path: k:\dy10000002c\c100040 , size:  276 , seed:  3093477060
path: k:\dy10000001b\b100041 , size:  890 , seed:  2997916117
path: k:\dy10000002c\c100041 , size:  278 , seed:  1935774650
path: k:\dy10000001b\b100042 , size:  898 , seed:  1669567025
path: k:\dy10000002c\c100042 , size:  559 , seed:  2352529812
path: k:\dy10000001b\b100043 , size:  38 , seed:  2849948811
path: k:\dy10000002c\c100043 , size:  999 , seed:  1984556752
path: k:\dy10000001b\b100044 , size:  640 , seed:  3273607445
path: k:\dy10000002c\c100044 , size:  456 , seed:  675180197
path: k:\dy10000001b\b100045 , size:  604 , seed:  1314214827
path: k:\dy10000002c\c100045 , size:  492 , seed:  3742063205
path: k:\dy10000001b\b100046 , size:  979 , seed:  1682017693
path: k:\dy10000002c\c100046 , size:  925 , seed:  144004280
path: k:\dy10000001b\b100047 , size:  724 , seed:  2510854501
path: k:\dy10000002c\c100047 , size:  496 , seed:  1910037312
path: k:\dy10000001b\b100048 , size:  709 , seed:  839097958
path: k:\dy10000002c\c100048 , size:  198 , seed:  1326390736
path: k:\dy10000001b\b100049 , size:  419 , seed:  2328797337
path: k:\dy10000002c\c100049 , size:  782 , seed:  1900458996
path: k:\dy10000001b\b100050 , size:  89 , seed:  2382880296
path: k:\dy10000002c\c100050 , size:  438 , seed:  3394742222
path: k:\dy10000001b\b100051 , size:  913 , seed:  2353686444
path: k:\dy10000002c\c100051 , size:  529 , seed:  1822612155
path: k:\dy10000001b\b100052 , size:  324 , seed:  1114627948
path: k:\dy10000002c\c100052 , size:  382 , seed:  4164469642
path: k:\dy10000001b\b100053 , size:  864 , seed:  3799358588
path: k:\dy10000002c\c100053 , size:  134 , seed:  2010918385
path: k:\dy10000001b\b100054 , size:  787 , seed:  4086485703
path: k:\dy10000002c\c100054 , size:  688 , seed:  314720196
path: k:\dy10000001b\b100055 , size:  437 , seed:  3193030440
path: k:\dy10000002c\c100055 , size:  785 , seed:  3072527703
path: k:\dy10000001b\b100056 , size:  501 , seed:  768679256
path: k:\dy10000002c\c100056 , size:  755 , seed:  3003044372
path: k:\dy10000001b\b100057 , size:  137 , seed:  994412457
path: k:\dy10000002c\c100057 , size:  699 , seed:  1546276419
path: k:\dy10000001b\b100058 , size:  513 , seed:  3325352950
path: k:\dy10000002c\c100058 , size:  771 , seed:  1571815505
path: k:\dy10000001b\b100059 , size:  746 , seed:  134365926
path: k:\dy10000002c\c100059 , size:  692 , seed:  2512809779
path: k:\dy10000001b\b100060 , size:  45 , seed:  498973929
path: k:\dy10000002c\c100060 , size:  19 , seed:  1651643173
path: k:\dy10000001b\b100061 , size:  427 , seed:  3095123682
path: k:\dy10000002c\c100061 , size:  966 , seed:  2467984664
path: k:\dy10000001b\b100062 , size:  122 , seed:  1992212081
path: k:\dy10000002c\c100062 , size:  157 , seed:  3995467187
path: k:\dy10000001b\b100063 , size:  288 , seed:  3610146893
path: k:\dy10000002c\c100063 , size:  26 , seed:  1709804025
path: k:\dy10000001b\b100064 , size:  852 , seed:  1585268192
path: k:\dy10000002c\c100064 , size:  558 , seed:  1606526214
path: k:\dy10000001b\b100065 , size:  69 , seed:  3844703148
path: k:\dy10000002c\c100065 , size:  562 , seed:  458589360
path: k:\dy10000002c\c100066 , size:  324 , seed:  3291750417
path: k:\dy10000002c\c100067 , size:  906 , seed:  2776482158
path: k:\dy10000002c\c100068 , size:  513 , seed:  1294596338
